id_producto|productos_ean|productos_descripcion|productos_cantidad_presentacion|productos_unidad_medida_presentacion|productos_marca
7790380024194|1|CHOCOLATE CON LECHE GEORGALOS 25 GRM|25|grm|GEORGALOS
7790380005971|1|CHOCOLATE PARA TAZA GEORGALOS TAB 100 GRM|100|grm|GEORGALOS
4058075780491|1|LAMPARA LED 30W FRIA|1.00|unidad|LEDVANCE
8806095859200|1|CEL SAMSUNG S25+ 256G BLU|1.00|unidad|SAMSUNG
7790168001256|1|VINO COLON TORR VIOGNIER|750.00|cm3|COLON
7790314010224|1|VINO KADABRA CABERNET SAUV. 750 ML|750|ml|FECOVITA LTDA.
7798120546401|1|MASAS SECAS  200 GRM|200|grm|.
7792798015351|1|CERVEZA S/ALCOHOL 0.0% CORONA PAK 2838 ML|2838|ml|CORONA
7790070760685|1|VINO FRAN MALBEC|750.00|cm3|FRAN
7792281068000|1|SET UTENSILLOS C/COLGANTE M/ACERO 7Pzas|7|uni.|CINCAM(CAROL) S.A.C.I.F.A. e I.
7790975198590|1|ESPUMANTE ROSÉ CHANDON BOT 750 ML|750|ml|CHANDON
7798136870682|1|YOGUR DESC.C/FRUT.D/BOSQUE DAHI FRA 190 GRM|190|grm|DAHI
7500435019491|1|SHAMPOO 3 EN 1 HEAD SHOULDERS BOT 375 ML|375|ml|HEAD SHOULDERS
7702425607705|1|PAÑAL SOFT COMF.T:XXG HUGGIES PAQ 24 UNI|24|uni|HUGGIES
7791675303000|1|ACEITUNAS VERDES CASTELL DESCAROZADAS POU 300 GRM|300|grm|CASTELL
7798169802667|1|ALMOHADITA RELL CHOCOLATE LASFOR PAQ 200 GRM|200|grm|LASFOR
7798217939826|1|PALMERITAS BAÑADAS PAQ 220 GRM|220|grm|.
7797046003234|1|SARTEN SCANDI GREY 26 x 4,8cm|1|uni.|MERCATOR S.A
7794990878093|1|MUZZARELLA LA PAULINA X KG|1|kgm|LA PAULINA
7790520019820|1|MINIGEL GLADE CAR ACQUA|70.00|gr|GLADE
7791102011126|1|ESP COOPERATIVA P/TEFLON|1.00|unidad|COOPERATIVA
8806094745863|1|CEL SAMSUNG S23 ULTRA BK|1.00|unidad|SAMSUNG
8806094927139|1|HOR EL  SAMSUNG NV7B4040V|1.00|unidad|SAMSUNG
7798310860041|1|T/COPETIN SUTAPA|380.00|gr|SUTAPA
7793360129889|1|EXTRACTO SIMPLE DE TOMATE LA CAMPAGNOLA FRA 180 GRM|180|grm|CAMPAGNOL
7790863009502|1|SUSTITUTO DE HARINA S/TACC DULKRE POU 500 GRM|500|grm|DULKRE
7792710000090|1|YERBA MATE AMANDA SELECCION ESPECIAL PAQ 500 GRM|500|grm|AMANDA
7798031150384|1|FIDEOS GUISEROS SEM.MOSTACHOL RAYADO BONAVITA PAQ 500 GRM|500|grm|BONAVITA
7798331180012|1|LECH HIDROP MANTECOSA VEQUA X UNID|220|grm|VEQUA
7798136870644|1|YOGUR ENT.C/DURAZNOS DAHI FRA 190 GRM|190|grm|DAHI
7791113001536|1|POLVO P/FLAN VAINILLA EMETH EST 60 GRM|60|grm|EMETH
7790070433183|1|REBOZADOR PREFERIDO PAQ 500 GRM|500|grm|PREFERIDO
8806088806440|1|HELADERA SAMSUNG 382L NOFROST  TWING COOLING RT38K5932SL INV|1|uni|SAMSUNG
7509552898835|1|KIT EXCELLEN.S/AMON.8U RUBIO CLARO UNIV.LOREAL CJA 1 UNI|1|uni|LOREAL
7798053656161|1|MOLINILLO INDO AL TUCO FRA 55 GRM|55|grm|INDO
7791102053478|1|ATUN P PRECIO DES AC Y AG|170.00|gr|PRIMER PRECIO.
7798160225762|1|MEDALLONES D/POLLO C/ESPINACA GRUPOLAR PAQ 320 GRM|320|grm|GRUPOLAR
7790117001122|1|BOLSAS ASURIN MASCOTA GATOS 10x88x39cm|10|uni.|NECHO S.A.
7790040132962|1|GALLETITAS DE SALVADO HOGAREÑAS PAQ 200 GRM|200|grm|HOGAREÑAS
7790117002525|1|BOLSAS DE RESIDUOS ASURIN  50 X 65 PAQ 50 UNI|50|uni|ASURIN
7790580154233|1|JUGO BC MULTIFRUTA|1000.00|cm3|BC
7790894901851|1|CEL MOTO G06 128GB AZUL|1.00|unidad|MOTOROLA
7791058010839|1|LECHE E/POLV MANFREY ENT|400.00|gr|MANFREY
7793350995166|1|ESPUMA LIMP.P/CALZADOS WASSINGTON SPR 150 GRM|150|grm|WASSINGTON
7509552922288|1|SHAMPOO RECARGA NUTRITIVA GARNIER FRUCTIS BOT 200 ML|200|ml|GARNIER FRUCTIS
7791600037345|1|DEO KEVIN ROJO|250.00|cm3|KEVIN
7790770602100|1|TOA CALIPSO SAN C/CALE|16.00|unidad|CALIPSO
7791102054956|1|ATUN COOP LOMITOS ACEITE|160.00|gr|COOPERATIVA
7791905003366|1|JAB LIQ QUERUBIN ORIGI DP|3000.00|cm3|QUERUBIN
0194778097970|1|AIO LENOVO 340-22AST|1.00|unidad|LENOVO
8413700630293|1|PIMENTÓN DULCE CARMENCITA LAT 75 GRM|75|grm|CARMENCITA
7791102046043|1|LAMP LED COOP FRIA 12W|1.00|unidad|COOP
7502271278179|1|COCINA DREAN CD5603AB0|1.00|unidad|DREAN
7790900016906|1|ANTIHUMEDAD AIRE PUR INVOLC.LAV. 250gr|250|Gr|INDUSTRIAS IBERIA S.A.I.C
7791672014565|1|BIZCOCHOS DE GRASA FANTOCHE PAQ 200 GRM|200|grm|FANTOCHE
